id,name,year_start,era,great_powers_involved,theaters,duration_years,power_ratio_ab,alliance_rigidity,economic_interdependence,prior_disputes_10yr,concurrent_conflicts_global,power_transition,nuclear_era,asymmetric_warfare,resource_competition,ideological_divide,escalation_score,became_world_war,system_polarity
1,Greco-Persian Wars,-499,ancient,2,1,50,0.4,0.6,0.2,3,2,0,0,1,0.3,0.7,6,0,3
2,Peloponnesian War,-431,ancient,2,2,27,0.9,0.9,0.5,5,1,1,0,1,0.6,0.8,7,0,2
3,Wars of Alexander the Great,-334,ancient,2,3,11,0.6,0.4,0.2,2,1,1,0,1,0.5,0.5,8,0,3
4,Second Punic War,-218,ancient,2,3,17,1.1,0.7,0.4,4,2,1,0,1,0.8,0.4,8,0,2
5,Roman Civil Wars (Caesar),-49,ancient,1,3,4,0.8,0.3,0.9,5,1,1,0,0,0.7,0.6,5,0,1
6,Arab-Byzantine Wars,629,medieval,2,2,421,0.7,0.4,0.3,5,3,1,0,1,0.6,0.9,7,0,3
7,Crusades (1st-4th),1096,medieval,4,2,108,0.6,0.5,0.3,3,4,0,0,1,0.5,1.0,8,0,3
8,Mongol Conquests,1206,medieval,5,4,88,1.5,0.2,0.2,2,5,1,0,1,0.7,0.3,10,1,3
9,Hundred Years War,1337,medieval,2,1,116,0.7,0.5,0.4,4,3,0,0,1,0.5,0.2,5,0,3
10,Thirty Years War,1618,early_modern,5,2,30,0.9,0.8,0.4,5,3,1,0,0,0.6,0.9,9,1,3
11,War of Spanish Succession,1701,early_modern,5,3,13,0.85,0.8,0.4,4,2,1,0,0,0.6,0.4,8,0,3
12,Seven Years War,1756,early_modern,5,5,7,0.8,0.9,0.4,5,1,1,0,0,0.8,0.3,9,1,3
13,American Revolutionary War,1775,early_modern,3,2,8,0.5,0.5,0.6,4,1,1,0,1,0.5,0.7,6,0,3
14,French Revolutionary + Napoleonic Wars,1792,early_modern,6,4,23,0.9,0.7,0.5,5,2,1,0,0,0.7,0.9,10,1,3
15,Crimean War,1853,19th_century,4,1,3,1.2,0.6,0.4,3,2,0,0,0,0.4,0.5,6,0,3
16,American Civil War,1861,19th_century,1,2,4,1.5,0.2,0.9,5,2,0,0,0,0.7,0.9,5,0,3
17,Austro-Prussian War,1866,19th_century,2,1,0.2,1.1,0.5,0.5,3,2,1,0,0,0.4,0.3,4,0,3
18,Franco-Prussian War,1870,19th_century,2,1,1,1.2,0.4,0.5,3,1,1,0,0,0.5,0.4,5,0,3
19,Russo-Japanese War,1904,19th_century,2,1,1.5,0.6,0.4,0.2,3,2,1,0,1,0.6,0.4,5,0,3
20,World War I,1914,world_war,8,4,4,0.85,1.0,0.7,5,3,1,0,1,0.9,0.5,10,1,3
21,Russian Civil War,1917,world_war,3,2,5,0.7,0.3,0.3,5,3,1,0,1,0.5,1.0,6,0,3
22,Spanish Civil War,1936,world_war,3,1,3,0.7,0.6,0.4,5,4,1,0,1,0.4,1.0,6,0,3
